               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 132,            0.029314,            0.018438,          0.00079947,             0.96759,             0.94444,             0.96904,             0.57408,            0.029999,            0.011427,           0.0012056,           0.0087031,           0.0087031,           0.0087031
                 133,            0.028898,            0.018633,          0.00089621,             0.98953,             0.98357,               0.995,             0.56892,            0.029188,            0.011204,          0.00055634,           0.0086932,           0.0086932,           0.0086932
                 134,            0.029309,            0.018444,          0.00077857,             0.99102,                   1,               0.995,             0.57046,            0.027107,            0.011602,          0.00063426,           0.0086833,           0.0086833,           0.0086833
                 135,            0.028966,            0.018359,           0.0007179,             0.98333,                   1,               0.995,             0.53174,            0.028635,            0.011686,          0.00052929,           0.0086734,           0.0086734,           0.0086734
                 136,            0.028873,            0.018285,          0.00086994,             0.98882,                   1,               0.995,             0.57371,            0.029146,            0.011647,          0.00053806,           0.0086635,           0.0086635,           0.0086635
                 137,            0.029339,            0.018321,          0.00084255,              0.9838,             0.93333,             0.97595,             0.58309,            0.026755,             0.01088,          0.00082872,           0.0086536,           0.0086536,           0.0086536
                 138,            0.028505,            0.018219,          0.00085363,             0.98294,                   1,               0.995,             0.55696,            0.030177,            0.011351,           0.0009831,           0.0086437,           0.0086437,           0.0086437
                 139,              0.0287,             0.01815,          0.00076745,             0.91459,                   1,             0.98389,              0.5757,            0.028286,            0.011512,           0.0007093,           0.0086338,           0.0086338,           0.0086338
                 140,            0.029168,            0.018071,          0.00077916,             0.91735,             0.93333,               0.919,             0.54534,            0.028664,            0.011484,          0.00073632,           0.0086239,           0.0086239,           0.0086239
                 141,            0.029279,            0.018452,          0.00085747,             0.92238,             0.93333,             0.93258,             0.59362,            0.025647,            0.010936,          0.00058593,            0.008614,            0.008614,            0.008614
                 142,            0.028962,             0.01843,           0.0008056,             0.92608,             0.93333,             0.93233,             0.59275,            0.028357,            0.011115,          0.00064418,           0.0086041,           0.0086041,           0.0086041
                 143,            0.028577,            0.017861,           0.0007467,             0.98135,                   1,               0.995,             0.54944,            0.029617,            0.011847,          0.00060785,           0.0085942,           0.0085942,           0.0085942
                 144,            0.028848,            0.018341,          0.00084689,             0.98956,                   1,               0.995,             0.57737,            0.028032,            0.012122,           0.0005128,           0.0085843,           0.0085843,           0.0085843
                 145,            0.028826,             0.01872,          0.00078377,             0.98728,                   1,               0.995,             0.59895,            0.028517,            0.012016,          0.00080664,           0.0085744,           0.0085744,           0.0085744
                 146,            0.028845,            0.018739,          0.00086881,             0.96115,             0.97222,             0.96705,             0.59056,             0.02954,            0.011827,           0.0010358,           0.0085645,           0.0085645,           0.0085645
                 147,             0.02836,            0.018696,          0.00077158,             0.98713,                   1,               0.995,             0.55976,            0.029134,            0.012334,           0.0011911,           0.0085546,           0.0085546,           0.0085546
                 148,            0.028879,            0.017628,          0.00080277,             0.92703,             0.93333,             0.93271,             0.54605,            0.029441,            0.012619,           0.0014106,           0.0085447,           0.0085447,           0.0085447
                 149,             0.02839,            0.018133,          0.00088938,             0.98296,                   1,               0.995,             0.55992,            0.028728,             0.01155,           0.0013586,           0.0085348,           0.0085348,           0.0085348
                 150,            0.028557,            0.018227,           0.0007612,             0.98564,             0.99157,               0.995,             0.52822,            0.029607,            0.012487,           0.0010809,           0.0085249,           0.0085249,           0.0085249
                 151,            0.028771,            0.018052,          0.00079519,             0.98279,             0.93333,             0.98389,             0.53798,            0.028876,            0.011933,          0.00071455,            0.008515,            0.008515,            0.008515
                 152,            0.028701,            0.018329,          0.00079173,              0.9891,                   1,               0.995,             0.56232,             0.02902,            0.011765,          0.00069951,           0.0085051,           0.0085051,           0.0085051
                 153,            0.028732,            0.018362,          0.00086142,             0.98933,                   1,               0.995,              0.5545,             0.02793,            0.011583,          0.00055953,           0.0084952,           0.0084952,           0.0084952
                 154,            0.028166,            0.018026,          0.00079188,             0.98827,                   1,               0.995,             0.55888,            0.029348,            0.012064,          0.00056136,           0.0084853,           0.0084853,           0.0084853
